name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
GLØR,816318742,Storgata 21,0184,OSLO,4.3,,77.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.914318, 10.750489]"
GO'BENTO KIELLANDSPLASS AS,921048793,Waldemar Thranes gate 72,0175,OSLO,3.9,2,431.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.928221, 10.750506]"
Galopin,921165218,Vulkan 5,0178,OSLO,4.8,,26.0,2,0.25,4,1,,,0.5,3,0,1,0,"[59.922253, 10.751749]"
Gamle Munch kaffebar,920136834,Tøyengata 53,0578,OSLO,4.0,,67.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.916937, 10.773577]"
Gamle Raadhus Restaurant,971692324,NEDRE SLOTTSGATE 1,0157,OSLO,4.2,2,326.0,3,0.0,5,1,,,0.6,2,3,0,0,"[59.909847, 10.740149]"
Gangnam Korean Restaurant AS ,915131018,MUNKEDAMSVEIEN 59,0270,OSLO,4.5,2,705.0,5,0.1666666666666666,6,1,,,0.8333333333333334,2,3,1,0,"[59.911067, 10.721148]"
Gari Sushi,923437800,Trondheimsveien 111b,0565,OSLO,3.9,,45.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.925568, 10.776256]"
Gartneriet på Bygdø Kongsgård,973618202,Museumsveien 15,0287,OSLO,4.6,2,100.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.909791, 10.685047]"
Gastroteket Vika,924686782,Ruseløkkveien 26,0251,OSLO,4.0,,45.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.912559, 10.726927]"
Gate of India,972352225,BOGSTADVEIEN 66A,0366,OSLO,4.2,2,399.0,9,0.3,10,1,,,0.9,4,3,3,0,"[59.92866, 10.715725]"
Geita Restaurant,921412088,Geitmyrsveien 57,0455,OSLO,4.8,,76.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.93118, 10.742734]"
Ghost Pizzeria,926039970,Kirkeveien 51,0368,OSLO,5.0,,102.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.927661, 10.713795]"
Girotondo,919848928,Youngs gate 19,0181,OSLO,4.6,2,554.0,1,0.0,3,1,,,0.3333333333333333,2,1,0,0,"[59.915117, 10.750032]"
Godt Brød Grunerløkka,883338162,Thorvald Meyers gate 49,0555,OSLO,4.4,2,940.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.92401, 10.758884]"
Godt Brød Munch Brygge,922965447,Operagata 29,0194,OSLO,4.1,2,236.0,10,0.6,5,1,,,2.0,1,0,2,2,"[59.907113, 10.756923]"
Godt Brød Nydalen NY28,922022380,Nydalsveien 28,0484,OSLO,4.4,2,82.0,0,0.0,2,1,,,0.0,2,0,0,0,"[59.9496851, 10.7624131]"
Godt brød Bisletthjørnet ,917025401,THERESESGATE 52,0168,OSLO,4.2,2,194.0,6,0.25,8,1,,,0.75,4,2,2,0,"[59.92569086494717, 10.73106967722877]"
Godt brød Nydalen,990191069,NYDALSVEIEN 33,0484,OSLO,4.3,2,181.0,8,0.3333333333333333,9,1,,,0.8888888888888888,4,2,3,0,"[59.949565, 10.765789]"
Godthåb AS,820691342,Grønland 18,0188,OSLO,4.3,,172.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.913023, 10.761402]"
Gohan,921265484,Torggata 16,0181,OSLO,3.6,,45.0,7,0.6,5,1,,,1.4,2,0,2,1,"[59.915849, 10.750834]"
Golden Mountain Chin Shan House ,974163527,Fritjof Nansens plass 4,0160,OSLO,3.8,,181.0,13,0.4545454545454545,11,1,,,1.181818181818182,5,1,3,2,"[59.91321454286259, 10.734083219773169]"
Gondol Restaurant & Bar,921589964,Stovner senter 3,0985,OSLO,4.3,2,193.0,5,0.6666666666666666,3,1,,,1.6666666666666667,1,0,1,1,"[59.962146, 10.924524]"
